一	 一:single
刷	 𡰯:Left    刂:Right
券	 龹:Top    刀:Bottom
刹	 杀:Left    刂:Right
刺	 朿:Left    刂:Right
刻	 亥:Left    刂:Right
則	 貝:Left    刂:Right
削	 肖:Left    刂:Right
前	 䒑:Top    刖:Bottom
剖	 咅:Left    刂:Right
剛	 岡:Left    刂:Right
剝	 彔:Left    刂:Right
剣	 㑒:Left    刂:Right
剤	 斉:Left    刂:Right
副	 畐:Left    刂:Right
剰	 乗:Left    刂:Right
割	 害:Left    刂:Right
創	 倉:Left    刂:Right
劇	 豦:Left    刂:Right
力	 丿:Center    𠃌:Center
功	 工:Left    力:Right
加	 力:Left    口:Right
劣	 少:Top    力:Bottom
助	 且:Left    力:Right
努	 奴:Top    力:Bottom
励	 厉:Left    力:Right
労	 𭕄:ParallelTop    冖:ParallelCenter    力:ParallelBottom
効	 交:Left    力:Right
劾	 亥:Left    力:Right
勃	 孛:Left    力:Right
勅	 束:Left    力:Right
勇	 龴:ParallelTop    田:ParallelCenter    力:ParallelBottom
勉	 免:BottomLeftOutside    力:TopRightInside
動	 重:Left    力:Right
勘	 甚:Left    力:Right
務	 矛:Left    攵:Top    力:Bottom
勝	 月:Left    劵:Right
募	 莫:Top    力:Bottom
勢	 埶:Top    力:Bottom
勤	 𦰌:Left    力:Right
勧	 𮥶:Left    力:Right
勲	 動:Top    灬:Bottom
勾	 勹:TopRightOutside    厶:BottomLeftInside
匂	 勹:TopRightOutside    匕:BottomLeftInside
包	 勹:TopRightOutside    己:BottomLeftInside
化	 亻:Left    匕:Right
北	 北:single
匠	 匚:LeftOutside    斤:RightInside
匹	 匚:LeftOutside    儿:RightInside
区	 匚:LeftOutside    㐅:RightInside
医	 匚:LeftOutside    矢:RightInside
匿	 匚:LeftOutside    若:RightInside
十	 十:single
千	 丿:Top    十:Bottom
升	 丿:Top    廾:Bottom
午	 𠂉:Top    十:Bottom
半	 丷:Top    二Center:    丨:Center
卑	 丿:Top    𤰞:Bottom
卒	 𠅃:Top    十:Bottom
卓	 ⺊:Top    早:Bottom
協	 十:Left    劦:Right
南	 十:Top    冂TopOutside:    𢆉:BottomInside
単	 𭕄:Top    甲Center:    一:Center
博	 ⿰十⿱⿺𤰔丶寸
占	 ⺊:Top    口:Bottom
印	 印:single
危	 厃:TopLeftOutside    㔾:BottomRightInside
即	 即:single
却	 去:Left    卩:Right
卵	 𠂑:Left    卪:Right
卸	 𦈢:Left    卩:Right
厄	 厂:TopLeftOutside    㔾:BottomRightInside
厘	 厂:TopLeftOutside    里:BottomRightInside
厚	 厂:TopLeftOutside    㫗:BottomRightInside
原	 厂:TopLeftOutside    白Top:    小:Bottom
厳	 𭕄:Top    𠪚:Bottom
去	 土:Top    厶:Bottom
参	 厶:ParallelTop    大:ParallelCenter    彡:ParallelBottom
又	 又:single
及	 及:single
友	 𠂇:TopLeftOutside    又:BottomRightInside
双	 又:Left    又:Right
反	 厂:TopLeftOutside    又:BottomRightInside
収	 丩:Left    又:Right
叔	 尗:Left    又:Right
取	 耳:TopLeftOutside    又:BottomRightInside
受	 爫:ParallelTop    冖:ParallelCenter    又:ParallelBottom
叙	 余:Left    又:Right
口	 口:single
古	 十:Top    口:Bottom
句	 勹:TopRightOutside    口:BottomLeftInside
叫	 口:Left    丩:Right
召	 刀:Top    口:Bottom
可	 丁:TopRightOutside    口:BottomLeftInside
台	 厶:Top    口:Bottom
史	 史:single
右	 𠂇:TopLeftOutside    口:BottomRightInside
号	 口:Top    丂:Bottom
司	 𠃌:TopRightOutside    𠮛:BottomLeftInside
各	 夂:Top    口:Bottom
合	 亼:Top    口:Bottom
吉	 士:Top    口:Bottom
同	 𠔼:TopOutside    口:BottomInside
名	 夕:Top    口:Bottom
后	 𠂋:TopLeftOutside    口:BottomRightInside
吏	 一:Center    史:Center
吐	 口:Left    土:Right
向	 ⿵⿱丿冂口
君	 尹:TopLeftOutside    口:BottomRightInside
吟	 口:Left    今:Right
否	 不:Top    口:Bottom
含	 今:Top    口:Bottom
吸	 口:Left    及:Right
吹	 口:Left    欠:Right
呂	 口:ParallelTop    丿:ParallelCenter    口:ParallelBottom
呈	 口:Top    王:Bottom
呉	 ⿳⿺𠃑口一八
告	 𠂒:Top    口:Bottom
周	 ⺆:TopOutside    𠮷:BottomInside
呪	 口:Left    兄:Right
味	 口:Left    未:Right
呼	 口:Left    乎:Right
命	 亼:Top    叩:Bottom
和	 禾:Left    口:Right
咲	 口:Left    关:Right
咽	 口:Left    因:Right
哀	 亠:ParallelTop    口:ParallelCenter    𧘇:ParallelBottom
品	 口:Top    吅:Bottom
員	 口:Top    貝:Bottom
哲	 折:Top    口:Bottom
哺	 口:Left    甫:Right
唄	 口:Left    貝:Right
唆	 口:Left    夋:Right
唇	 辰:Top    口:Bottom
唐	 ⿸广⿱⿻⿻コ一丨口
唯	 口:Left    隹:Right
唱	 口:Left    昌:Right
唾	 口:Left    垂:Right
商	 亠:ParallelTop    丷:ParallelCenter    冏:ParallelBottom
問	 門:TopOutside    口:BottomInside
啓	 戸:Left    攵:Right    口:Bottom
善	 羊:ParallelTop    䒑:ParallelCenter    口:ParallelBottom
喉	 口:Left    侯:Right
喚	 口:Left    奐:Right
喜	 壴:Top    口:Bottom
喝	 口:Left    日:Top    匂:Bottom
喩	 口:Left    兪:Right
喪	 ⿱⿻土吅⿰𠄌⿺乀丿
喫	 口:Left    契:Right
営	 𭕄:ParallelTop    冖:ParallelCenter    呂:ParallelBottom
嗅	 口:Left    臭:Right
嗣	 口:Top    𠕁Bottom:    司:Right
嘆	 口:Left    𦰩:Right
嘱	 口:Left    属:Right
嘲	 口:Left    朝:Right
器	 吅:ParallelTop    大:ParallelCenter    吅:ParallelBottom
噴	 口:Left    賁:Right
