一	 一:single
指	 扌:Left    旨:Right
挑	 扌:Left    兆:Right
挙	 兴:Top    手:Bottom
挟	 扌:Left    夹:Right
挨	 扌:Left    矣:Right
挫	 扌:Left    坐:Right
振	 扌:Left    辰:Right
挿	 扌:Left    𢆍:Right
捉	 扌:Left    足:Right
捕	 扌:Left    甫:Right
捗	 扌:Left    步:Right
捜	 扌:Left    叟:Right
捨	 扌:Left    舎:Right
据	 扌:Left    居:Right
捻	 扌:Left    念:Right
掃	 扌:Left    帚:Right
授	 扌:Left    受:Right
掌	 𫩠:Top    手:Bottom
排	 扌:Left    非:Right
掘	 扌:Left    屈:Right
掛	 扌:Left    卦:Right
採	 扌:Left    采:Right
探	 扌:Left    罙:Right
接	 扌:Left    妾:Right
控	 扌:Left    空:Right
推	 扌:Left    隹:Right
措	 扌:Left    昔:Right
掲	 扌:Left    日:Top    匂:Bottom
描	 扌:Left    苗:Right
提	 扌:Left    是:Right
揚	 扌:Left    昜:Right
換	 扌:Left    奐:Right
握	 扌:Left    屋:Right
揮	 扌:Left    軍:Right
援	 扌:Left    爰:Right
揺	 扌:Left    爫:Top    𠙻:Bottom
損	 扌:Left    員:Right
搬	 扌:Left    般:Right
搭	 扌:Left    荅:Right
携	 扌:Left    隽:Right
搾	 扌:Left    窄:Right
摂	 ⿰扌⿱耳⿱丷八
摘	 扌:Left    啇:Right
摩	 麻:TopLeftOutside    手:BottomRightInside
摯	 執:Top    手:Bottom
撃	 軗:Top    手:Bottom
撤	 扌:VerticalLeft    育:VerticalCenter    攵:VerticalRight
撮	 扌:Left    最:Right
撲	 扌:Left    菐:Right
擁	 扌:Left    雍:Right
操	 扌:Left    喿:Right
擦	 扌:Left    察:Right
擬	 扌:Left    疑:Right
支	 十:Top    又:Bottom
改	 己:Left    攵:Right
攻	 工:Left    攵:Right
放	 方:Left    攵:Right
政	 正:Left    攵:Right
故	 古:Left    攵:Right
敏	 毎:Left    攵:Right
救	 求:Left    攵:Right
敗	 貝:Left    攵:Right
教	 孝:Left    攵:Right
敢	 丅:Top    耳Bottom:    攵:Right
散	 龷:Top    ⺼Bottom:    攵:Right
敬	 苟:Left    攵:Right
数	 娄:Left    攵:Right
整	 敕:Top    正:Bottom
敵	 啇:Left    攵:Right
敷	 ⿰⿱⿺𤰔丶方攵
文	 亠:Top    乂:Bottom
斉	 ⿱文⿲丿二丨
斎	 齐:TopOutside    示:BottomInside
斑	 王:VerticalLeft    文:VerticalCenter    王:VerticalRight
斗	 斗:single
料	 米:Left    斗:Right
斜	 余:Left    斗:Right
斤	 𠂆:TopLeftOutside    丅:BottomRightInside
斥	 斤:Center    丶:Center
斬	 車:Left    斤:Right
断	 ⿰⿺𠃊米斤
新	 亲:Left    斤:Right
方	 亠:Top    丿:Left    𠃌:Right
施	 方:Left    㐌:Right
旅	 旅:single
旋	 方:Left    𭻾:Right
族	 方:Left    𠂉:Top    矢:Bottom
旗	 方:Left    𠂉:Top    其:Bottom
既	 既:single
日	 日:single
旦	 日:Top    一:Bottom
旧	 丨:Left    日:Right
旨	 匕:Top    日:Bottom
早	 日:Top    十:Bottom
旬	 勹:TopRightOutside    日:BottomLeftInside
旺	 日:Left    王:Right
昆	 日:Top    比:Bottom
昇	 日:Top    升:Bottom
明	 日:Left    月:Right
易	 日:Top    勿:Bottom
昔	 龷:Top    日:Bottom
星	 日:Top    生:Bottom
映	 日:Left    央:Right
春	 𡗗:Top    日:Bottom
昧	 日:Left    未:Right
昨	 日:Left    乍:Right
昭	 日:Left    召:Right
是	 日:Top    𤴓:Bottom
昼	 尺:Top    旦:Bottom
時	 日:Left    寺:Right
晩	 日:Left    免:Right
普	 並:Top    日:Bottom
景	 日:Top    京:Bottom
晴	 日:Left    青:Right
晶	 日:Top    昍:Bottom
暁	 日:Left    尭:Right
暇	 日:Left    叚:Right
暑	 日:Top    者:Bottom
暖	 日:Left    爰:Right
暗	 日:Left    音:Right
暦	 𠩵:TopLeftOutside    日:BottomRightInside
暫	 斬:Top    日:Bottom
暮	 莫:Top    日:Bottom
暴	 日:Top    㳟:Bottom
曇	 日:Top    雲:Bottom
曖	 日:Left    愛:Right
曜	 日:Left    翟:Right
曲	 曲:single
更	 一:Top    日Center:    乂:Center
書	 𦘒:ParallelTop    一:ParallelCenter    日:ParallelBottom
曹	 ⿱⿻一曲日
曽	 𬎿:Top    日:Bottom
替	 㚘:Top    日:Bottom
最	 日:Top    取:Bottom
月	 月:single
有	 𠂇:TopLeftOutside    月:BottomRightInside
服	 月:Left    𠬝:Right
朕	 月:Left    关:Right
朗	 朗:single
望	 亡:Left    月:Right    王:Bottom
朝	 𠦝:Left    月:Right
期	 其:Left    月:Right
木	 木:single
未	 未:single
末	 末:single
本	 本:single
札	 木:Left    乚:Right
朱	 朱:single
朴	 木:Left    卜:Right
机	 木:Left    几:Right
朽	 木:Left    丂:Right
杉	 木:Left    彡:Right
材	 木:Left    才:Right
村	 木:Left    寸:Right
束	 束:single
条	 夂:Top    木:Bottom
来	 来:single
杯	 木:Left    不:Right
東	 東:single
松	 木:Left    公:Right
板	 木:Left    反:Right
析	 木:Left    斤:Right
枕	 木:Left    冘:Right
林	 木:Left    木:Right
枚	 木:Left    攵:Right
果	 日:Center    木:Center
枝	 木:Left    支:Right
枠	 木:Left    卆:Right
枢	 木:Left    区:Right
枯	 木:Left    古:Right
架	 加:Top    木:Bottom
柄	 木:Left    丙:Right
某	 甘:Top    木:Bottom
染	 氿:Top    木:Bottom
柔	 矛:Top    木:Bottom
柱	 木:Left    主:Right
柳	 木:Left    卯:Right
柵	 木:Left    冊:Right
査	 木:Top    且:Bottom
柿	 木:Left    市:Right
栃	 ⿰木⿸𠂆万
栄	 𭕄:ParallelTop    冖:ParallelCenter    木:ParallelBottom
栓	 木:Left    全:Right
校	 木:Left    交:Right
株	 木:Left    朱:Right
核	 木:Left    亥:Right
根	 木:Left    艮:Right
格	 木:Left    各:Right
栽	 𢦏:TopRightOutside    木:BottomLeftInside
桁	 木:Left    行:Right
桃	 木:Left    兆:Right
案	 安:Top    木:Bottom
桑	 叒:Top    木:Bottom
桜	 木:Left    𭕄:Top    女:Bottom
桟	 木:Left    㦮:Right
梅	 木:Left    毎:Right
梗	 木:Left    更:Right
梨	 利:Top    木:Bottom
械	 木:Left    戒:Right
棄	 𠫓:Top    𭩠:Bottom
棋	 木:Left    其:Right
棒	 木:Left    奉:Right
棚	 木:Left    朋:Right
棟	 木:Left    東:Right
森	 木:Top    林:Bottom
棺	 木:Left    官:Right
椅	 木:Left    奇:Right
植	 木:Left    直:Right
椎	 木:Left    隹:Right
検	 木:Left    㑒:Right
業	 业:Top    𦍎:Bottom
極	 木:Left    亟:Right
楷	 木:Left    皆:Right
楼	 木:Left    娄:Right
楽	 ⿱⿴⿱丷八白木
概	 木:Left    既:Right
構	 木:Left    冓:Right
様	 木:Left    𣴎:Right
槽	 木:Left    曹:Right
標	 木:Left    票:Right
模	 木:Left    莫:Right
権	 木:Left    𮥶:Right
横	 木:Left    黄:Right
樹	 木:Left    尌:Right
橋	 木:Left    喬:Right
機	 木:Left    幾:Right
欄	 木:Left    䦨:Right
欠	 欠:single
次	 冫:Left    欠:Right
欧	 区:Left    欠:Right
欲	 谷:Left    欠:Right
欺	 其:Left    欠:Right
款	 士:Top    示Bottom:    欠:Right
歌	 哥:Left    欠:Right
歓	 𮥶:Left    欠:Right
止	 止:single
正	 一:Top    止:Bottom
武	 ⿹⿶弋一止
歩	 止:Top    少:Bottom
歯	 ⿱止⿶凵米
歳	 止:Top    戌TopOutside:    小:BottomInside
歴	 𠩵:TopLeftOutside    止:BottomRightInside
死	 歹:TopLeftOutside    匕:BottomRightInside
殉	 歹:Left    旬:Right
殊	 歹:Left    朱:Right
残	 歹:Left    㦮:Right
殖	 歹:Left    直:Right
殴	 区:Left    殳:Right
段	 段:single
殺	 㐅:Top    木Bottom:    殳:Right
殻	 壳:Left    殳:Right
殿	 𡱒:Left    殳:Right
毀	 臼:Top    土Bottom:    殳:Right
母	 母:single
毎	 𠂉:Top    毋:Bottom
毒	 龶:Top    毋:Bottom
比	 比:single
毛	 丿:Top    二Center:    乚:Center
氏	 氏:single
民	 民:single
気	 气:TopRightOutside    㐅:BottomLeftInside
水	 ⿲㇇亅⿺乀丿
氷	 水:Center    丶:Center
永	 永:single
氾	 氵:Left    㔾:Right
汁	 氵:Left    十:Right
求	 ⿺⿻一氺丶
汎	 氵:Left    凡:Right
汗	 氵:Left    干:Right
汚	 氵:Left    亐:Right
江	 氵:Left    工:Right
池	 氵:Left    也:Right
汰	 氵:Left    太:Right
決	 氵:Left    夬:Right
汽	 氵:Left    气:Right
沃	 氵:Left    夭:Right
沈	 氵:Left    冘:Right
沖	 氵:Left    中:Right
沙	 氵:Left    少:Right
没	 氵:Left    殳:Right
沢	 氵:Left    尺:Right
河	 氵:Left    可:Right
沸	 氵:Left    弗:Right
油	 氵:Left    由:Right
治	 氵:Left    台:Right
沼	 氵:Left    召:Right
沿	 氵:Left    㕣:Right
況	 氵:Left    兄:Right
泉	 白:Top    水:Bottom
泊	 氵:Left    白:Right
泌	 氵:Left    必:Right
法	 氵:Left    去:Right
泡	 氵:Left    包:Right
波	 氵:Left    皮:Right
泣	 氵:Left    立:Right
泥	 氵:Left    尼:Right
注	 氵:Left    主:Right
泰	 𡗗:Top    氺:Bottom
泳	 氵:Left    永:Right
洋	 氵:Left    羊:Right
洗	 氵:Left    先:Right
洞	 氵:Left    同:Right
津	 氵:Left    聿:Right
洪	 氵:Left    共:Right
活	 氵:Left    舌:Right
派	 氵:Left    𠂢:Right
流	 氵:Left    㐬:Right
浄	 氵:Left    争:Right
浅	 氵:Left    㦮:Right
浜	 氵:Left    兵:Right
浦	 氵:Left    甫:Right
浪	 氵:Left    良:Right
浮	 氵:Left    孚:Right
浴	 氵:Left    谷:Right
海	 氵:Left    毎:Right
浸	 氵:Left    𠬶:Right
消	 氵:Left    肖:Right
涙	 氵:Left    戻:Right
涯	 氵:Left    厓:Right
液	 氵:Left    夜:Right
涼	 氵:Left    京:Right
淑	 氵:Left    叔:Right
淡	 氵:Left    炎:Right
淫	 氵:Left    㸒:Right
深	 氵:Left    罙:Right
混	 氵:Left    昆:Right
添	 氵:Left    忝:Right
清	 氵:Left    青:Right
渇	 氵:Left    日:Top    匂:Bottom
済	 氵:Left    斉:Right
渉	 氵:Left    歩:Right
渋	 ⿰氵⿱止⿱丷八
渓	 氵:Left    爫:Top    夫:Bottom
減	 氵:Left    咸:Right
渡	 氵:Left    度:Right
渦	 氵:Left    咼:Right
温	 氵:Left    昷:Right
測	 氵:Left    則:Right
港	 氵:Left    巷:Right
湖	 氵:Left    胡:Right
湧	 氵:Left    勇:Right
湯	 氵:Left    昜:Right
湾	 氵:Left    弯:Right
湿	 氵:Left    显:Right
満	 氵:Left    艹:Top    両:Bottom
源	 氵:Left    原:Right
準	 淮:Top    十:Bottom
溝	 氵:Left    冓:Right
溶	 氵:Left    容:Right
溺	 氵:Left    弱:Right
滅	 氵:Left    烕:Right
滋	 氵:Left    兹:Right
滑	 氵:Left    骨:Right
滝	 氵:Left    竜:Right
滞	 氵:Left    帯:Right
滴	 氵:Left    啇:Right
漁	 氵:Left    魚:Right
漂	 氵:Left    票:Right
漆	 氵:Left    桼:Right
漏	 氵:Left    屚:Right
演	 氵:Left    寅:Right
漠	 氵:Left    莫:Right
漢	 氵:Left    𦰩:Right
漫	 氵:Left    曼:Right
漬	 氵:Left    責:Right
漸	 氵:Left    斬:Right
潔	 氵:Left    絜:Right
潜	 氵:Left    替:Right
潟	 氵:Left    舄:Right
潤	 氵:Left    閏:Right
潮	 氵:Left    朝:Right
潰	 氵:Left    貴:Right
澄	 氵:Left    登:Right
激	 氵:Left    敫:Right
濁	 氵:Left    蜀:Right
濃	 氵:Left    農:Right
濫	 氵:Left    監:Right
濯	 氵:Left    翟:Right
瀬	 氵:Left    頼:Right
火	 八:Top    人:Bottom
灯	 火:Left    丁:Right
灰	 厂:TopLeftOutside    火:BottomRightInside
災	 巛:Top    火:Bottom
炉	 火:Left    戸:Right
炊	 火:Left    欠:Right
炎	 火:Top    火:Bottom
炭	 山:Top    灰:Bottom
点	 占:Top    灬:Bottom
為	 為:single
烈	 列:Top    灬:Bottom
無	 𠂉:Top    卌ParallelTop:    一:ParallelCenter灬:ParallelBottom
焦	 隹:Top    灬:Bottom
然	 ⿱⿰⿴𠂊冫犬灬
焼	 火:Left    尭:Right
煎	 前:Top    灬:Bottom
煙	 火:Left    垔:Right
照	 昭:Top    灬:Bottom
煩	 火:Left    頁:Right
煮	 者:Top    灬:Bottom
熊	 能:Top    灬:Bottom
熟	 孰:Top    灬:Bottom
熱	 埶:Top    灬:Bottom
燃	 火:Left    然:Right
燥	 火:Left    喿:Right
爆	 火:Left    暴:Right
爪	 爪:single
爵	 爫:ParallelTop    罒:ParallelCenter    𡬠:ParallelBottom
父	 八:Top    乂:Bottom
爽	 大:Center    㸚:Center
片	 片:single
版	 片:Left    反:Right
牙	 牙:single
牛	 牛:single
牧	 牛:Left    攵:Right
物	 牛:Left    勿:Right
牲	 牛:Left    生:Right
特	 牛:Left    寺:Right
犠	 牛:Left    義:Right
犬	 犬:single
犯	 犭:Left    㔾:Right
状	 丬:Left    犬:Right
狂	 犭:Left    王:Right
狙	 犭:Left    且:Right
狩	 犭:Left    守:Right
独	 犭:Left    虫:Right
狭	 犭:Left    夹:Right
猛	 犭:Left    孟:Right
猟	 犭:Left    鼡:Right
猫	 犭:Left    苗:Right
献	 南:Left    犬:Right
猶	 犭:Left    酋:Right
猿	 犭:Left    袁:Right
獄	 犭:VerticalLeft    言:VerticalCenter    犬:VerticalRight
獣	 ⿰⿳畄一口犬
獲	 犭:Left    蒦:Right
玄	 亠:Top    幺:Bottom
率	 ⿱⿻玄⿱丷八十
玉	 王:LeftOutside    丶:RightInside
王	 一:Top    土:Bottom
玩	 王:Left    元:Right
珍	 王:Left    㐱:Right
珠	 王:Left    朱:Right
班	 王:VerticalLeft    リ:VerticalCenter    王:VerticalRight
現	 王:Left    見:Right
球	 王:Left    求:Right
理	 王:Left    里:Right
琴	 玨:Top    今:Bottom
瑠	 王:Left    留:Right
璃	 王:Left    离:Right
璧	 辟:Top    玉:Bottom
環	 王:Left    睘:Right
璽	 爾:Top    玉:Bottom
瓦	 瓦:single
瓶	 并:Left    瓦:Right
甘	 甘:single
甚	 甚:single
生	 生:single
産	 产:TopLeftOutside    生:BottomRightInside
用	 ⿵冂⿻二丨
田	 田:single
由	 由:single
甲	 甲:single
申	 申:single
男	 田:Top    力:Bottom
町	 田:Left    丁:Right
画	 ⿱一⿶凵由
界	 田:Top    介:Bottom
畏	 ⿳田一⿰𠄌⿺乀丿
畑	 火:Left    田:Right
畔	 田:Left    半:Right
留	 留:single
畜	 玄:Top    田:Bottom
畝	 亩:Left    久:Right
略	 田:Left    各:Right
番	 釆:Top    田:Bottom
異	 田:Top    共:Bottom
畳	 田:Top    冝:Bottom
畿	 ⿹⿻戈𢆶田
疎	 𤴔:Left    束:Right
疑	 𠤕:Left    龴:Top    疋:Bottom
疫	 疒:TopLeftOutside    殳:BottomRightInside
疲	 疒:TopLeftOutside    皮:BottomRightInside
疾	 疒:TopLeftOutside    矢:BottomRightInside
病	 疒:TopLeftOutside    丙:BottomRightInside
症	 疒:TopLeftOutside    正:BottomRightInside
痕	 疒:TopLeftOutside    艮:BottomRightInside
痘	 疒:TopLeftOutside    豆:BottomRightInside
痛	 疒:TopLeftOutside    甬:BottomRightInside
痢	 疒:TopLeftOutside    利:BottomRightInside
痩	 疒:TopLeftOutside    叟:BottomRightInside
痴	 疒:TopLeftOutside    知:BottomRightInside
瘍	 疒:TopLeftOutside    昜:BottomRightInside
療	 疒:TopLeftOutside    尞:BottomRightInside
癒	 疒:TopLeftOutside    愈:BottomRightInside
癖	 疒:TopLeftOutside    辟:BottomRightInside
発	 癶:Top    二Center:    儿:Center
登	 癶:Top    豆:Bottom
白	 白:single
百	 一:Top    白:Bottom
的	 白:Left    勺:Right
皆	 比:Top    白:Bottom
皇	 白:Top    王:Bottom
皮	 皮:single
皿	 皿:single
盆	 分:Top    皿:Bottom
益	 䒑:ParallelTop    八:ParallelCenter    皿:ParallelBottom
盗	 次:Top    皿:Bottom
盛	 成:Top    皿:Bottom
盟	 明:Top    皿:Bottom
監	 ⿱⿰臣⿱𠂉一皿
盤	 般:Top    皿:Bottom
目	 目:single
盲	 亡:Top    目:Bottom
直	 十:Top    𠃊BottomLeftOutside:    目:TopRightInside
相	 木:Left    目:Right
盾	 𠂆:TopLeftOutside    𥃭:BottomRightInside
省	 少:Top    目:Bottom
眉	 𠃜:TopLeftOutside    目:BottomRightInside
看	 龵:Top    目:Bottom
県	 ⿱⿺𠃊目小
真	 十:Top    具:Bottom
眠	 目:Left    民:Right
眺	 目:Left    兆:Right
眼	 目:Left    艮:Right
着	 𦍌:TopLeftOutside    丿Top:    目:Bottom
睡	 目:Left    垂:Right
督	 叔:Top    目:Bottom
睦	 目:Left    坴:Right
瞬	 目:Left    舜:Right
瞭	 目:Left    尞:Right
瞳	 目:Left    童:Right
矛	 ⿱龴⿹𠄐丿
矢	 𠂉:Top    大:Bottom
知	 矢:Left    口:Right
短	 矢:Left    豆:Right
矯	 矢:Left    喬:Right
石	 丆:TopLeftOutside    口:BottomRightInside
砂	 石:Left    少:Right
研	 石:Left    开:Right
砕	 石:Left    卆:Right
砲	 石:Left    包:Right
破	 石:Left    皮:Right
硝	 石:Left    肖:Right
硫	 石:Left    㐬:Right
硬	 石:Left    更:Right
碁	 其:Top    石:Bottom
碑	 石:Left    卑:Right
確	 石:Left    隺:Right
磁	 石:Left    兹:Right
磨	 麻:TopLeftOutside    石:BottomRightInside
礁	 石:Left    焦:Right
礎	 石:Left    楚:Right
示	 示:single
礼	 礻:Left    乚:Right
社	 礻:Left    土:Right
祈	 礻:Left    斤:Right
祉	 礻:Left    止:Right
祖	 礻:Left    且:Right
祝	 礻:Left    兄:Right
神	 礻:Left    申:Right
祥	 礻:Left    羊:Right
票	 覀:Top    示:Bottom
祭	 ⿱⿰⿴𠂊冫又示
禁	 林:Top    示:Bottom
禅	 礻:Left    単:Right
禍	 礻:Left    咼:Right
福	 礻:Left    畐:Right
秀	 禾:Top    乃:Bottom
私	 禾:Left    厶:Right
秋	 禾:Left    火:Right
科	 禾:Left    斗:Right
秒	 禾:Left    少:Right
秘	 禾:Left    必:Right
租	 禾:Left    且:Right
秩	 禾:Left    失:Right
称	 禾:Left    尓:Right
移	 禾:Left    多:Right
程	 禾:Left    呈:Right
税	 禾:Left    兑:Right
稚	 禾:Left    隹:Right
種	 禾:Left    重:Right
稲	 禾:Left    爫:Top    旧:Bottom
稼	 禾:Left    家:Right
稽	 禾:Left    尤:Top    旨:Bottom
稿	 禾:Left    高:Right
穀	 ⿰⿳士冖禾殳
穂	 禾:Left    恵:Right
積	 禾:Left    責:Right
穏	 禾:Left    𢚩:Right
穫	 禾:Left    蒦:Right
穴	 宀:Top    八:Bottom
究	 穴:Top    九:Bottom
空	 穴:Top    工:Bottom
突	 穴:Top    大:Bottom
窃	 穴:Top    切:Bottom
窒	 穴:Top    至:Bottom
窓	 穴:ParallelTop    厶:ParallelCenter    心:ParallelBottom
窟	 穴:Top    屈:Bottom
窮	 穴:Top    躬:Bottom
窯	 穴:Top    羔:Bottom
立	 亠:ParallelTop    丷:ParallelCenter    一:ParallelBottom
竜	 立:Top    日Center:    乚:Center
章	 立:Top    早:Bottom
童	 立:Top    里:Bottom
端	 立:Left    耑:Right
競	 竞:Left    竞:Right
竹	 亇:Left    亇:Right
笑	 竹:Top    夭:Bottom
笛	 竹:Top    由:Bottom
符	 竹:Top    付:Bottom
第	 竹:Top    𢎨:Bottom
筆	 竹:Top    聿:Bottom
等	 竹:Top    寺:Bottom
筋	 竹:Top    肋:Bottom
筒	 竹:Top    同:Bottom
答	 竹:Top    合:Bottom
策	 竹:Top    朿:Bottom
箇	 竹:Top    固:Bottom
箋	 竹:Top    戔:Bottom
算	 竹:Top    𥃲:Bottom
管	 竹:Top    官:Bottom
箱	 竹:Top    相:Bottom
箸	 竹:Top    者:Bottom
節	 竹:Top    即:Bottom
範	 竹:Top    𨊠:Bottom
築	 筑:Top    木:Bottom
篤	 竹:Top    馬:Bottom
簡	 竹:Top    間:Bottom
簿	 ⿱竹⿰氵⿱⿺𤰔丶寸
籍	 竹:Top    耤:Bottom
籠	 竹:Top    龍:Bottom
米	 米:single
粉	 米:Left    分:Right
粋	 米:Left    卆:Right
粒	 米:Left    立:Right
粗	 米:Left    且:Right
粘	 米:Left    占:Right
粛	 粛:single
粧	 米:Left    庄:Right
精	 米:Left    青:Right
糖	 米:Left    唐:Right
糧	 米:Left    量:Right
糸	 幺:Top    小:Bottom
系	 丿:Top    糸:Bottom
糾	 糸:Left    丩:Right
紀	 糸:Left    己:Right
約	 糸:Left    勺:Right
紅	 糸:Left    工:Right
紋	 糸:Left    文:Right
納	 糸:Left    内:Right
純	 糸:Left    屯:Right
紙	 糸:Left    氏:Right
級	 糸:Left    及:Right
紛	 糸:Left    分:Right
素	 龶:Top    糸:Bottom
紡	 糸:Left    方:Right
索	 十:ParallelTop    冖:ParallelCenter    糸:ParallelBottom
紫	 此:Top    糸:Bottom
累	 田:Top    糸:Bottom
細	 糸:Left    田:Right
紳	 糸:Left    申:Right
紹	 糸:Left    召:Right
紺	 糸:Left    甘:Right
終	 糸:Left    冬:Right
組	 糸:Left    且:Right
経	 糸:Left    圣:Right
結	 糸:Left    吉:Right
絞	 糸:Left    交:Right
絡	 糸:Left    各:Right
給	 糸:Left    合:Right
統	 糸:Left    充:Right
絵	 糸:Left    会:Right
絶	 糸:Left    色:Right
絹	 糸:Left    肙:Right
継	 ⿰糸⿺𠃊米
続	 糸:Left    売:Right
維	 糸:Left    隹:Right
綱	 糸:Left    岡:Right
網	 糸:Left    罔:Right
綻	 糸:Left    定:Right
綿	 糸:Left    帛:Right
緊	 臤:Top    糸:Bottom
総	 糸:Left    忩:Right
緑	 糸:Left    录:Right
緒	 糸:Left    者:Right
線	 糸:Left    泉:Right
締	 糸:Left    帝:Right
編	 糸:Left    扁:Right
緩	 糸:Left    爰:Right
緯	 糸:Left    韋:Right
練	 糸:Left    東:Right
緻	 糸:Left    致:Right
縁	 糸:Left    彐:Top    𧰨:Bottom
縄	 ⿰糸⿻日电
縛	 ⿰糸⿱⿺𤰔丶寸
縦	 糸:Left    従:Right
縫	 糸:Left    逢:Right
縮	 糸:Left    宿:Right
績	 糸:Left    責:Right
繁	 敏:Top    糸:Bottom
繊	 糸:Left    𢦏TopRightOutside:    业:BottomLeftInside
織	 糸:Left    戠:Right
繕	 糸:Left    善:Right
繭	 ⿱艹⿻⿵冂丨𬗌
繰	 糸:Left    喿:Right
缶	 缶:single
罪	 罒:Top    非:Bottom
置	 罒:Top    直:Bottom
罰	 罒:Top    䚯:Bottom
署	 罒:Top    者:Bottom
罵	 罒:Top    馬:Bottom
罷	 罒:Top    能:Bottom
羅	 罒:Top    維:Bottom
羊	 䒑:Top    二Center:    丨:Center
美	 𦍌:Top    大:Bottom
羞	 𦍌:TopLeftOutside    丿Top:    丑:Bottom
群	 君:Left    羊:Right
羨	 𦍌:Top    㳄:Bottom
義	 𦍌:Top    我:Bottom
羽	 习:Left    习:Right
翁	 公:Top    羽:Bottom
翌	 羽:Top    立:Bottom
習	 羽:Top    白:Bottom
翻	 番:Left    羽:Right
翼	 羽:Top    異:Bottom
老	 耂:TopLeftOutside    匕:BottomRightInside
考	 耂:TopLeftOutside    丂:BottomRightInside
者	 耂:TopLeftOutside    日:BottomRightInside
耐	 而:Left    寸:Right
耕	 耒:Left    井:Right
耗	 耒:Left    毛:Right
耳	 耳:single
聖	 𦔻:Top    王:Bottom
聞	 門:TopOutside    耳:BottomInside
聴	 ⿰耳⿳十罒心
職	 耳:Left    戠:Right
肉	 肉:single
肌	 月:Left    几:Right
肖	 ⺌:Top    月:Bottom
肘	 月:Left    寸:Right
肝	 月:Left    干:Right
股	 月:Left    殳:Right
肢	 月:Left    支:Right
肥	 月:Left    巴:Right
肩	 戸:TopLeftOutside    月:BottomRightInside
肪	 月:Left    方:Right
肯	 止:Top    月:Bottom
育	 𠫓:Top    月:Bottom
肺	 月:Left    市:Right
胃	 田:Top    月:Bottom
胆	 月:Left    旦:Right
背	 北:Top    月:Bottom
胎	 月:Left    台:Right
胞	 月:Left    包:Right
胴	 月:Left    同:Right
胸	 月:Left    匈:Right
能	 䏍:Left    𫧇:Right
脂	 月:Left    旨:Right
脅	 劦:Top    月:Bottom
脇	 月:Left    劦:Right
脈	 月:Left    𠂢:Right
脊	 ⿱⿻人⿱丷八月
脚	 月:Left    却:Right
脱	 月:Left    兑:Right
脳	 月:Left    𭕄:Top    凶:Bottom
腎	 臤:Top    月:Bottom
腐	 府:TopLeftOutside    肉:BottomRightInside
腕	 月:Left    宛:Right
腫	 月:Left    重:Right
腰	 月:Left    要:Right
腸	 月:Left    昜:Right
腹	 月:Left    复:Right
腺	 月:Left    泉:Right
膚	 虍:TopLeftOutside    胃:BottomRightInside
膜	 月:Left    莫:Right
膝	 月:Left    桼:Right
膨	 月:Left    彭:Right
膳	 月:Left    善:Right
臆	 月:Left    意:Right
臓	 月:Left    蔵:Right
臣	 臣:single
臨	 臣:Left    𠂉:Top    品:Bottom
自	 自:single
臭	 自:Top    大:Bottom
至	 𠫔:Top    土:Bottom
致	 至:Left    攵:Right
臼	 臼:single
興	 ⿶⿳𦥑一八同
舌	 千:Top    口:Bottom
舎	 人:Top    𠮷:Bottom
舗	 舎:Left    甫:Right
舞	 𠂉:Top    卌ParallelTop:    一:ParallelCenter舛:ParallelBottom
舟	 舟:single
航	 舟:Left    亢:Right
般	 舟:Left    殳:Right
舶	 舟:Left    白:Right
舷	 舟:Left    玄:Right
船	 舟:Left    㕣:Right
艇	 舟:Left    廷:Right
艦	 舟:Left    監:Right
良	 丨:Top    艮:Bottom
色	 𠂊:Top    巴:Bottom
艶	 豊:Left    色:Right
芋	 艹:Top    于:Bottom
芝	 艹:Top    之:Bottom
芯	 艹:Top    心:Bottom
花	 艹:Top    化:Bottom
芳	 艹:Top    方:Bottom
芸	 艹:Top    云:Bottom
芽	 艹:Top    牙:Bottom
苗	 艹:Top    田:Bottom
苛	 艹:Top    可:Bottom
若	 艹:Top    右:Bottom
苦	 艹:Top    古:Bottom
英	 艹:Top    央:Bottom
茂	 艹:Top    戊:Bottom
茎	 艹:Top    圣:Bottom
茨	 艹:Top    次:Bottom
茶	 艹:ParallelTop    人:ParallelCenter    朩:ParallelBottom
草	 艹:Top    早:Bottom
荒	 艹:Top    巟:Bottom
荘	 艹:Top    壮:Bottom
荷	 艹:Top    何:Bottom
菊	 艹:Top    匊:Bottom
菌	 艹:Top    囷:Bottom
菓	 艹:Top    果:Bottom
菜	 艹:Top    采:Bottom
華	 華:single
萎	 艹:Top    委:Bottom
落	 艹:Top    洛:Bottom
葉	 艹:Top    枼:Bottom
著	 艹:Top    者:Bottom
葛	 艹:ParallelTop    日:ParallelCenter    匂:ParallelBottom
葬	 艹:ParallelTop    死:ParallelCenter    廾:ParallelBottom
蒸	 艹:Top    烝:Bottom
蓄	 艹:Top    畜:Bottom
蓋	 艹:Top    盍:Bottom
蔑	 𦭝:Top    戍:Bottom
蔵	 艹:Top    𮍏:Bottom
蔽	 艹:Top    敝:Bottom
薄	 ⿱艹⿰氵⿱⿺𤰔丶寸
薦	 艹:Top    廌:Bottom
薪	 艹:Top    新:Bottom
薫	 艹:Top    𤋱:Bottom
薬	 艹:Top    楽:Bottom
藍	 艹:Top    監:Bottom
藤	 艹:Top    滕:Bottom
